BIN,country_name,card_brand,card_type,card_level,issuer_name,country_code2,is_valid
400000,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400001,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400002,UNITED STATES,VISA,CREDIT,TRADITIONAL,RIVER VALLEY CREDIT UNION,US,True
400003,UNITED STATES,VISA,CREDIT,TRADITIONAL,VISA U.S.A. INC.,US,True
400004,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400005,UNITED STATES,VISA,DEBIT,BUSINESS,LEWIS &amp; CLARK BANK,US,False
400007,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400008,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400009,UNITED STATES,VISA,CREDIT,TRADITIONAL,UNIVERSITY FIRST FEDERAL CREDIT UNION,US,False
400010,UNITED STATES,VISA,CREDIT,TRADITIONAL,UNIVERSITY FIRST FEDERAL CREDIT UNION,US,True
400011,UNITED STATES,VISA,CREDIT,TRADITIONAL REWARDS,UNIVERSITY FIRST FEDERAL CREDIT UNION,US,False
400012,UNITED STATES,VISA,DEBIT,BUSINESS,UNITED CITIZENS BANK OF SOUTHERN KENTUCKY,US,False
400013,UNITED STATES,VISA,DEBIT,CLASSIC,UNITED CITIZENS BANK OF SOUTHERN KENTUCKY,US,True
400014,UNITED STATES,VISA,DEBIT,PREPAID PRIVATE LABEL,,US,False
400015,UNITED STATES,VISA,DEBIT,CLASSIC,INTL HDQTRS-CENTER OWNED,US,True
400020,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400021,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400022,UNITED STATES,VISA,DEBIT,CLASSIC,NAVY FEDERAL CREDIT UNION,US,False
400023,UNITED STATES,VISA,DEBIT,BUSINESS,NAVY FEDERAL CREDIT UNION,US,True
400024,UNITED STATES,VISA,CREDIT,SIGNATURE,NEW HAMPSHIRE FEDERAL CREDIT UNION,US,True
400025,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400026,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400027,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400028,UNITED STATES,VISA,DEBIT,CLASSIC,THE DONLEY COUNTY STATE BANK,US,False
400029,UNITED STATES,VISA,DEBIT,CLASSIC,IOWA STATE BANK,US,False
400030,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400031,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400039,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400041,UNITED STATES,VISA,DEBIT,PREPAID,BBVA USA,US,False
400046,UNITED STATES,VISA,DEBIT,PREPAID,METROPOLITAN COMMERCIAL BANK,US,False
400047,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,NBKC BANK,US,True
400048,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400049,UNITED STATES,VISA,DEBIT,BUSINESS,MISSION BANK,US,True
400050,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400051,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400052,UNITED STATES,VISA,DEBIT,BUSINESS,IOWA STATE BANK,US,True
400053,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400054,UNITED STATES,VISA,DEBIT,PREPAID RELOADABLE,METABANK,US,True
400055,UNITED STATES,VISA,CREDIT,BUSINESS,HIWAY CREDIT UNION,US,False
400056,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400057,UNITED STATES,VISA,DEBIT,PREPAID WORKPLACE BENEFITS,"PNC BANK, NATIONAL ASSOCIATION",US,False
400058,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,True
400059,UNITED STATES,VISA,DEBIT,CLASSIC,GREATER NEVADA CREDIT UNION,US,True
400061,UNITED STATES,VISA,CREDIT,TRADITIONAL,U.S. REGION,US,True
400062,UNITED STATES,VISA,CREDIT,BUSINESS,DESCO FEDERAL CREDIT UNION,US,False
400063,UNITED STATES,VISA,DEBIT,CLASSIC,THE BANK OF MISSOURI,US,
400064,UNITED STATES,VISA,DEBIT,BUSINESS,FARMERS BANK AND TRUST COMPANY,US,
400065,UNITED STATES,VISA,CREDIT,,,US,
400070,UNITED STATES,VISA,CREDIT,,,US,
400072,UNITED STATES,VISA,CREDIT,,,US,
400074,UNITED STATES,VISA,CREDIT,,,US,
400075,UNITED STATES,VISA,CREDIT,,,US,
400081,UNITED STATES,VISA,CREDIT,,,US,
400082,UNITED STATES,VISA,CREDIT,,,US,
400083,UNITED STATES,VISA,CREDIT,,,US,
400084,UNITED STATES,VISA,CREDIT,,,US,
400085,UNITED STATES,VISA,CREDIT,,,US,
400086,UNITED STATES,VISA,CREDIT,,,US,
400087,UNITED STATES,VISA,CREDIT,TRADITIONAL,INTL HDQTRS-CENTER OWNED,US,
400088,UNITED STATES,VISA,CREDIT,,,US,
400089,UNITED STATES,VISA,CREDIT,,,US,
400090,UNITED STATES,VISA,CREDIT,TRADITIONAL,DEPARTMENT OF COMMERCE FEDERAL CREDIT UNION,US,
400091,UNITED STATES,VISA,CREDIT,,,US,
400092,UNITED STATES,VISA,CREDIT,,,US,
400093,UNITED STATES,VISA,CREDIT,TRADITIONAL,DEPARTMENT OF COMMERCE FEDERAL CREDIT UNION,US,
400094,UNITED STATES,VISA,CREDIT,,"STAR NETWORKS, INC.",US,
400095,UNITED STATES,VISA,CREDIT,TRADITIONAL,DEPARTMENT OF COMMERCE FEDERAL CREDIT UNION,US,
400096,UNITED STATES,VISA,CREDIT,BUSINESS,FIRST SERVICE CREDIT UNION,US,
400097,UNITED STATES,VISA,CREDIT,,,US,
400099,UNITED STATES,VISA,CREDIT,,,US,
400100,UNITED STATES,VISA,CREDIT,BUSINESS,SRP FEDERAL CREDIT UNION,US,
400101,UNITED STATES,VISA,DEBIT,BUSINESS,COMMERCIAL BANK OF CALIFORNIA,US,
400105,UNITED STATES,VISA,DEBIT,BUSINESS,TEXAS BANK AND TRUST COMPANY,US,
400108,UNITED STATES,VISA,CREDIT,,,US,
400110,UNITED STATES,VISA,CREDIT,,FIFTH THIRD BANK,US,
400111,UNITED STATES,VISA,CREDIT,,FIFTH THIRD BANK,US,
400113,UNITED STATES,VISA,DEBIT,CLASSIC,THE PAULS VALLEY NATIONAL BANK,US,
400114,UNITED STATES,VISA,DEBIT,CLASSIC,FIFTH THIRD BANK,US,
400116,UNITED STATES,VISA,CREDIT,BUSINESS,FIRST FINANCIAL BANK,US,
400117,UNITED STATES,VISA,CREDIT,,,US,
400118,UNITED STATES,VISA,CREDIT,,,US,
400119,UNITED STATES,VISA,DEBIT,BUSINESS,,US,
400120,UNITED STATES,VISA,CREDIT,BUSINESS,BANK OF THE JAMES,US,
400122,UNITED STATES,VISA,DEBIT,CLASSIC,THE HOME TRUST &amp; SAVINGS BANK,US,
400123,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,"PNC BANK, NATIONAL ASSOCIATION",US,
400125,UNITED STATES,VISA,CREDIT,TRADITIONAL,CITIZENS&#039; BANK &amp; TRUST CO.,US,
400127,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,"TBBK CARD SERVICES, INC.",US,
400134,UNITED STATES,VISA,CREDIT,,,US,
400135,UNITED STATES,VISA,CREDIT,,"PLUS SYSTEM, INC.",US,
400137,UNITED STATES,VISA,CREDIT,BUSINESS,KNOXVILLE TVA EMPLOYEES CREDIT UNION,US,
400140,UNITED STATES,VISA,DEBIT,BUSINESS,FIRST COMMUNITY BANK OF THE OZARKS,US,
400143,UNITED STATES,VISA,CREDIT,,"ITS, INC.",US,
400144,UNITED STATES,VISA,CREDIT,,,US,
